Drilled depth (m),Tilt (Degrees),Distance E (m),Distance N (m),True Vertical Depth (m),Temperature (degrees C)
821,41.152,-66.672,195.033,765.032,108.95
822,41.19,-66.89,195.655,765.784,108.973
823,41.231,-67.106,196.277,766.537,109.002
824,41.276,-67.323,196.9,767.288,109.021
825,41.316,-67.537,197.524,768.04,109.056
826,41.375,-67.751,198.149,768.791,109.077
827,41.439,-67.964,198.775,769.541,109.1
828,41.511,-68.176,199.402,770.29,109.124
829,41.575,-68.388,200.031,771.038,109.136
830,41.633,-68.598,200.661,771.786,109.155
831,41.678,-68.808,201.292,772.533,109.188
832,41.74,-69.018,201.923,773.28,109.203
833,41.802,-69.229,202.555,774.026,109.211
834,41.848,-69.441,203.187,774.771,109.247
835,41.878,-69.654,203.819,775.515,109.273
836,41.908,-69.869,204.452,776.26,109.303
837,41.921,-70.084,205.084,777.004,109.318
838,41.926,-70.298,205.717,777.748,109.344
839,41.941,-70.512,206.35,778.492,109.365
840,41.978,-70.725,206.984,779.236,109.378
841,42.02,-70.938,207.618,779.979,109.377
842,42.049,-71.149,208.254,780.721,109.378
843,42.078,-71.36,208.889,781.464,109.402
844,42.122,-71.57,209.526,782.206,109.428
845,42.169,-71.78,210.163,782.947,109.435
846,42.202,-71.989,210.801,783.688,109.45
847,42.231,-72.198,211.44,784.429,109.47
848,42.266,-72.406,212.079,785.169,109.494
849,42.296,-72.615,212.719,785.909,109.531
850,42.342,-72.823,213.359,786.648,109.561
851,42.392,-73.032,214,787.387,109.601
852,42.434,-73.243,214.641,788.125,109.675
853,42.475,-73.454,215.282,788.863,109.752
854,42.519,-73.667,215.923,789.601,109.79
855,42.55,-73.881,216.564,790.337,109.852
856,42.562,-74.096,217.205,791.074,109.918
857,42.553,-74.312,217.846,791.811,109.941
858,42.542,-74.529,218.487,792.547,109.994
859,42.527,-74.745,219.127,793.284,110.028
860,42.523,-74.961,219.768,794.021,110.062
861,42.535,-75.175,220.409,794.758,110.113
862,42.563,-75.389,221.05,795.495,110.131
863,42.611,-75.602,221.693,796.231,110.174
864,42.67,-75.813,222.336,796.967,110.219
865,42.73,-76.024,222.981,797.702,110.247
866,42.785,-76.235,223.626,798.436,110.27
867,42.842,-76.444,224.273,799.169,110.311
868,42.895,-76.653,224.92,799.902,110.34
869,42.937,-76.862,225.568,800.635,110.384
870,42.971,-77.07,226.217,801.367,110.399
871,43.038,-77.279,226.866,802.098,110.435
872,43.111,-77.489,227.516,802.828,110.46
873,43.153,-77.7,228.167,803.558,110.472
874,43.209,-77.911,228.818,804.287,110.502
875,43.273,-78.123,229.469,805.016,110.554
876,43.323,-78.336,230.121,805.744,110.587
877,43.381,-78.548,230.774,806.471,110.612
878,43.435,-78.76,231.427,807.197,110.617
879,43.486,-78.971,232.082,807.923,110.631
880,43.542,-79.182,232.738,808.648,110.697
881,43.604,-79.391,233.394,809.373,110.711
882,43.672,-79.6,234.052,810.097,110.813
883,43.751,-79.807,234.711,810.819,110.804
884,43.842,-80.014,235.372,811.541,110.654
885,43.936,-80.219,236.034,812.262,110.974
886,44.017,-80.424,236.697,812.982,110.593
887,44.092,-80.629,237.362,813.7,110.475
888,44.158,-80.834,238.027,814.418,nan
889,44.207,-81.039,238.693,815.135,nan
890,44.249,-81.244,239.36,815.852,nan
891,44.291,-81.45,240.027,816.568,nan
892,44.339,-81.657,240.694,817.283,nan
893,44.382,-81.864,241.362,817.998,nan
