Fault ID,Relative Fault Length,StartX,StartY,EndX,EndY,Strike
1509,0.002525,40.7707,13.5115,40.7717,13.5093,156.1705677
1510,0.003154,40.7722,13.5092,40.7726,13.5123,8.592882363
1511,0.003497,40.7693,13.5152,40.7703,13.5119,163.5539765
1512,0.001496,40.7810,13.5116,40.7814,13.5102,163.6462096
1513,0.002797,40.7799,13.5088,40.7799,13.5115,1.251168265
1514,0.001662,40.7798,13.5117,40.7800,13.5101,173.2624411
1515,0.001072,40.7791,13.5134,40.7791,13.5123,0.605246494
1516,0.006538,40.7694,13.5004,40.7715,13.5065,18.22839365
1531,0.009189,40.7554,13.3609,40.7592,13.3527,155.7089544
1532,0.006865,40.7550,13.3578,40.7573,13.3514,160.7098103
1533,0.003913,40.7592,13.3436,40.7604,13.3399,162.4704329
1534,0.002008,40.7578,13.3454,40.7589,13.3437,147.7815223
1535,0.001560,40.7566,13.3471,40.7573,13.3457,154.0357504
1536,0.001563,40.7598,13.3516,40.7603,13.3502,160.8208492
1537,0.002185,40.7635,13.3516,40.7642,13.3496,161.1771784
1538,0.001227,40.7593,13.3531,40.7598,13.3520,156.1214446
1539,0.002407,40.7576,13.3612,40.7588,13.3592,149.7000129
1540,0.002804,40.7496,13.3558,40.7510,13.3534,150.398205
1541,0.000671,40.7499,13.3557,40.7501,13.3551,162.0144814
1542,0.002027,40.7485,13.3563,40.7497,13.3546,145.4925061
1543,0.002664,40.7492,13.3556,40.7506,13.3534,148.2106973
1544,0.001250,40.7500,13.3540,40.7505,13.3529,156.1214446
1545,0.002561,40.7482,13.3571,40.7497,13.3551,143.8540891
1546,0.001242,40.7463,13.3604,40.7471,13.3595,139.1170175
1547,0.003544,40.7456,13.3612,40.7483,13.3590,129.9169814
1548,0.001157,40.7459,13.3612,40.7468,13.3604,132.3864247
1549,0.001477,40.7447,13.3623,40.7458,13.3613,133.0281503
1550,0.003544,40.7467,13.3634,40.7477,13.3602,163.0723588
1551,0.002853,40.7486,13.3598,40.7479,13.3625,165.8291301
1552,0.002606,40.7469,13.3640,40.7476,13.3615,164.7464508
1553,0.001111,40.7480,13.3638,40.7482,13.3627,169.9583548
1554,0.001401,40.7476,13.3637,40.7478,13.3623,172.0791973
1555,0.001572,40.7466,13.3656,40.7468,13.3640,173.0589614
1556,0.002032,40.7469,13.3654,40.7477,13.3636,156.5944469
1557,0.001135,40.7466,13.3667,40.7468,13.3656,169.9583548
1558,0.003928,40.7447,13.3705,40.7457,13.3668,165.2530099
1559,0.003312,40.7459,13.3672,40.7455,13.3704,173.0589614
1560,0.004103,40.7447,13.3763,40.7457,13.3724,165.9786788
1561,0.004164,40.7565,13.3752,40.7553,13.3791,163.3182111
