Date,Tmax,Tmin
19411221:0900,18.4,8.8
19411222:0900,16.7,12.3
19411223:0900,15.7,11.2
19411224:0900,17.2,10
19411225:0900,17.2,8.8
19411226:0900,21,8.8
19411227:0900,13.1,7.1
19411228:0900,12.8,7.7
19411229:0900,15.3,8.9
19411230:0900,18.7,11.7
19411231:0900,19.3,9.4
19420101:0900,17.9,8.5
19420102:0900,17.8,8.2
19420103:0900,21.3,9.1
19420104:0900,14.6,7.3
19420105:0900,18.4,11.1
19420106:0900,15.8,12.6
19420107:0900,17.8,11.4
19420108:0900,18.2,8.4
19420109:0900,15.3,8.3
19420110:0900,16.6,11.6
19420111:0900,17.4,7.3
19420112:0900,17.4,10
19420113:0900,19.5,13.6
19420114:0900,19.9,14.7
19420115:0900,17.6,14.5
19420116:0900,18.3,14
19420117:0900,18.4,14
19420118:0900,18.9,15
19420119:0900,18.9,9.8
19420120:0900,18.8,9.5
19420121:0900,15.2,7.8
19420122:0900,18.2,9.9
19420123:0900,19.1,13.4
19420124:0900,20,12.7
19420125:0900,18.9,12.2
19420126:0900,23.4,14
19420127:0900,20.5,13.9
19420128:0900,21.5,14.5
19420129:0900,19.5,14.7
19420130:0900,21.7,12.2
19420131:0900,24.5,13.9
19420201:0900,16.3,14
19420202:0900,18.3,11.6
19420203:0900,17.3,12.3
19420204:0900,17.7,12.1
19420205:0900,17.2,10.7
19420206:0900,16.6,8.3
19420207:0900,15.4,7.9
19420208:0900,19.9,11.8
19420209:0900,17.8,11.2
19420210:0900,16.2,11.3
19420211:0900,17.4,7.9
19420212:0900,22.1,11.7
19420213:0900,21.5,11.7
19420214:0900,20.3,12.2
19420215:0900,15.4,11.8
19420216:0900,23.2,13.3
19420217:0900,20.1,13.5
19420218:0900,20.6,13.1
19420219:0900,20.3,13.2
19420220:0900,17.9,13.2
19420221:0900,15.3,12.2
19420222:0900,17.2,10.8
19420223:0900,18.8,12.1
19420224:0900,21.4,14.4
19420225:0900,20,14.7
19420226:0900,20.4,13.1
19420227:0900,19.6,11.9
19420228:0900,23.3,11.7
19420301:0900,20.6,13.4
19420302:0900,18.7,12.8
19420303:0900,19.9,6.2
19420304:0900,16.3,6.2
19420305:0900,18.6,12.1
19420306:0900,23.3,11.2
19420307:0900,21.1,14.4
19420308:0900,20.6,12
19420309:0900,19.4,12.1
19420310:0900,19.6,12.9
19420311:0900,15.1,8.3
19420312:0900,14.3,8.9
19420313:0900,17.8,12.5
19420314:0900,18.3,11.7
19420315:0900,19.6,11.3
19420316:0900,18.3,8.4
19420317:0900,14.4,7.2
19420318:0900,20.7,11.2
19420319:0900,20.2,14.6
19420320:0900,17.6,9.9
19420321:0900,13.6,7.6
19420322:0900,15.4,8.2
19420323:0900,19.8,11.8
19420324:0900,14.9,8.3
19420325:0900,18.9,14.3
19420326:0900,18.9,15.1
19420327:0900,19.4,12.3
19420328:0900,17.7,13.8
19420329:0900,18.3,11.9
19420330:0900,19.8,12.8
19420331:0900,21.1,16.1
19420401:0900,19.4,16.2
19420402:0900,18.7,16.5
19420403:0900,19.2,15.8
19420404:0900,20.1,15.4
19420405:0900,18.9,16.7
19420406:0900,18.4,16.2
19420407:0900,19.5,15.8
19420408:0900,16.8,13.3
19420409:0900,16.6,7.1
19420410:0900,15.9,7.9
19420411:0900,19.4,11.2
19420412:0900,18.5,11.3
19420413:0900,19.9,11.7
19420414:0900,19.3,13.3
19420415:0900,16.6,13.6
19420416:0900,15.6,8.2
19420417:0900,17.7,10.8
19420418:0900,16.7,11.7
19420419:0900,15.1,9.3
19420420:0900,14.9,6
19420421:0900,15.9,11.7
19420422:0900,15.9,9.2
19420423:0900,17.9,7.3
19420424:0900,16.7,6
19420425:0900,14.8,7.1
19420426:0900,14.1,7.2
19420427:0900,14.6,8.9
19420428:0900,12.2,6.1
19420429:0900,11.1,6.2
19420430:0900,13.4,7.1
19420501:0900,15.3,10.9
19420502:0900,15.7,12.9
19420503:0900,17.2,10.2
19420504:0900,16.6,10.4
19420505:0900,14.3,12.4
19420506:0900,15.3,11.6
19420507:0900,15.5,13.3
19420508:0900,15.7,12.3
19420509:0900,12.7,9.4
19420510:0900,10.4,8
19420511:0900,14,7.8
19420512:0900,12.6,8.3
19420513:0900,11.2,8.4
19420514:0900,15.9,9.8
19420515:0900,13.9,11.5
19420516:0900,17.9,10.6
19420517:0900,16.4,11.9
19420518:0900,15,11.5
19420519:0900,16.6,11.2
19420520:0900,14.3,7.1
19420521:0900,12.6,6.3
19420522:0900,13.2,8.7
19420523:0900,12.4,8.3
19420524:0900,12.7,8.3
19420525:0900,9.6,4.4
19420526:0900,8.1,5.4
19420527:0900,8.8,3.9
19420528:0900,7.7,5.2
19420529:0900,7.7,5
19420530:0900,9.3,6.7
19420531:0900,11.6,7.7
19420601:0900,13.2,9.1
19420602:0900,12.7,7.9
19420603:0900,10.1,7.4
19420604:0900,14.1,7.2
19420605:0900,9.8,4.8
19420606:0900,8,5.6
19420607:0900,11.6,5.1
19420608:0900,12.2,5.1
19420609:0900,14.2,6.2
19420610:0900,9.8,3.2
19420611:0900,12.1,8.4
