Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS10_20,F,77.05,0.11,12.33,1.39,0.02,0.02,0.55,3.18,5.35,212,7.4,213,59,120,80,7.9,38,34,7.8
EYS10_21,F,76.99,0.09,12.57,1.36,0.02,0.00,0.58,3.37,5.02,215,8.4,220,58,126,78,6.6,38,29,6.6
EYS10_22,F,76.87,0.12,12.55,1.45,0.03,0.03,0.57,3.32,5.06,213,7.7,224,63,136,84,8.9,39,34,7.3
EYS10_24,F,76.99,0.11,12.29,1.32,0.03,0.02,0.56,3.33,5.34,231,7.0,236,66,136,92,7.5,39,33,7.3
EYS10_25,F,77.21,0.06,12.40,1.32,0.03,0.00,0.51,3.31,5.15,248,3.5,229,71,49,82,11.7,49,41,10.5
EYS10_26,F,77.18,0.10,12.45,1.40,0.04,0.01,0.59,3.02,5.21,217,7.3,214,63,139,85,9.8,40,32,7.7
EYS10_32,F,76.91,0.10,12.73,1.35,0.03,0.00,0.56,3.22,5.10,218,7.0,230,65,127,93,8.1,40,35,8.0
EYS10_33,F,77.22,0.11,12.28,1.47,0.00,0.01,0.60,3.16,5.15,213,6.7,218,59,127,90,8.4,38,32,7.6
EYS10_34,F,76.99,0.10,12.51,1.44,0.03,0.00,0.59,3.16,5.19,216,7.4,211,59,134,86,8.9,41,32,7.4
EYS10_35,F,77.02,0.09,12.33,1.41,0.03,0.00,0.54,3.36,5.22,224,7.1,214,65,148,91,8.8,43,36,7.9
EYS10_36,F,77.14,0.10,12.36,1.43,0.02,0.03,0.56,3.28,5.10,210,7.2,226,61,129,89,8.5,40,33,8.5
EYS10_36_2,F,77.44,0.12,12.40,1.43,0.01,0.01,0.52,2.96,5.11,226,8.0,232,62,132,98,10.7,42,32,8.1
EYS10_39,F,77.59,0.10,12.08,1.34,0.06,0.01,0.55,3.29,4.99,224,6.9,248,67,163,93,8.9,42,34,7.8
EYS10_40,F,77.64,0.10,12.29,1.38,0.01,0.00,0.54,3.11,4.93,216,7.4,227,61,121,88,8.6,40,33,7.8
EYS10_41,F,76.83,0.10,12.53,1.43,0.03,0.01,0.56,3.25,5.25,210,8.2,222,61,135,87,9.5,38,31,9.1
EYS10_41_2,F,77.13,0.11,12.43,1.36,0.00,0.01,0.55,3.37,5.02,222,7.5,223,61,133,90,12.4,41,31,7.7
EYS10_44,F,77.38,0.12,12.30,1.42,0.03,0.02,0.56,3.24,4.92,214,8.2,227,61,125,87,9.4,43,34,7.7
EYS10_45,F,77.51,0.10,12.19,1.47,0.02,0.01,0.55,3.23,4.92,219,7.2,230,62,132,89,10.0,41,33,8.3
EYS10_46_2,F,77.54,0.10,12.08,1.35,0.03,0.02,0.60,3.20,5.08,224,7.4,223,61,137,89,8.2,38,33,7.8
EYS10_49,F,77.31,0.11,12.28,1.39,0.03,0.01,0.58,3.21,5.08,217,7.2,235,65,130,90,8.0,40,32,8.0
EYS10_54,F,77.31,0.11,12.22,1.34,0.03,0.01,0.54,3.24,5.20,217,6.9,224,63,124,85,8.0,42,33,8.7
EYS10_55,F,77.00,0.11,12.53,1.36,0.02,0.00,0.58,3.27,5.13,220,7.4,229,64,131,89,8.0,41,35,8.6
EYS10_57,F,77.74,0.10,12.01,1.41,0.01,0.01,0.58,3.09,5.05,224,8.1,230,64,136,91,10.5,42,30,7.6
EYS10_60,F,76.90,0.11,12.42,1.41,0.03,0.00,0.57,3.54,5.03,213,6.6,226,64,126,88,8.2,41,32,7.6
EYS10_61,F,77.72,0.13,12.24,1.42,0.04,0.02,0.56,2.89,4.98,229,7.9,236,66,137,93,8.3,42,33,8.7
EYS10_7,F,76.94,0.09,12.40,1.39,0.02,0.01,0.58,3.37,5.19,208,6.3,213,61,122,85,9.5,39,32,7.9
EYS10_9,F,77.27,0.10,12.56,1.35,0.04,0.03,0.56,2.97,5.12,214,6.2,218,59,121,83,8.8,40,32,8.1
EYS4_10,G,76.95,0.08,12.24,1.29,0.02,0.03,0.54,3.67,5.18,204,8.0,204,59,127,82,7.8,41,31,7.4
EYS4_13,G,76.73,0.09,12.40,1.28,0.02,0.03,0.56,3.67,5.23,199,7.4,212,60,138,86,7.9,41,33,7.5
EYS4_14,G,77.03,0.09,12.20,1.41,0.02,0.03,0.52,3.42,5.27,209,6.7,212,60,131,80,7.3,40,30,8.0
EYS4_14_2,G,76.90,0.09,12.43,1.33,0.02,0.03,0.55,3.52,5.13,218,7.1,213,62,149,88,9.0,41,31,7.4
EYS4_15,G,77.08,0.09,12.23,1.40,0.02,0.03,0.54,3.41,5.20,220,7.4,230,63,148,92,9.0,41,34,7.2
EYS4_15_2,G,77.33,0.09,12.36,1.28,0.02,0.03,0.59,3.38,4.92,222,7.9,218,63,147,93,7.6,39,36,7.9
EYS4_16,G,76.87,0.09,12.35,1.41,0.02,0.03,0.55,3.44,5.24,213,7.2,217,59,137,85,7.4,39,31,7.6
EYS4_17,G,76.67,0.09,12.44,1.47,0.02,0.03,0.57,3.23,5.48,221,6.5,209,61,129,88,7.9,36,33,7.4
EYS4_18,G,77.03,0.09,12.29,1.35,0.02,0.03,0.57,3.39,5.22,216,6.1,214,60,130,84,7.8,41,33,8.4
EYS4_19,G,76.75,0.09,12.54,1.43,0.02,0.03,0.60,3.26,5.27,216,7.2,227,59,144,91,9.8,43,34,7.0
EYS4_2,G,76.83,0.09,12.32,1.38,0.02,0.03,0.55,3.63,5.16,212,7.9,221,62,127,85,7.8,38,31,7.4
EYS4_20,G,77.16,0.09,12.04,1.37,0.02,0.03,0.61,3.55,5.13,216,6.6,221,63,144,88,8.3,39,31,7.3
EYS4_20_2,G,77.38,0.09,12.04,1.38,0.02,0.03,0.57,3.42,5.09,212,8.2,216,61,147,89,7.8,39,32,7.6
